                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.70472,                0.49416,                 0.9717,                0.81577,                0.75781,                0.83337,                0.70773,                 0.5943,                0.40975,                 0.9223,             0.00029706,             0.00029706,             0.00029706
                     70,                0.70539,                 0.4978,                0.97086,                0.78918,                0.78979,                0.83386,                0.70969,                0.59567,                0.40969,                0.92328,             0.00028806,             0.00028806,             0.00028806
                     71,                0.70621,                0.49552,                0.97059,                0.80128,                 0.7695,                0.83242,                0.70805,                0.59257,                0.40793,                 0.9208,             0.00027906,             0.00027906,             0.00027906
                     72,                0.70884,                0.49285,                0.97131,                 0.8052,                0.77321,                0.83285,                0.70962,                  0.592,                0.40846,                0.92064,             0.00027006,             0.00027006,             0.00027006
                     73,                0.70555,                 0.4915,                0.97014,                0.82023,                0.76078,                0.83565,                0.71073,                0.59244,                0.40474,                0.91832,             0.00026106,             0.00026106,             0.00026106
                     74,                 0.7042,                0.48849,                0.96951,                0.80342,                0.78246,                 0.8341,                0.70981,                0.58994,                0.40811,                0.91821,             0.00025207,             0.00025207,             0.00025207
                     75,                0.70373,                0.48622,                0.96987,                0.80952,                0.77726,                0.83075,                0.70731,                0.59056,                0.40831,                0.91801,             0.00024307,             0.00024307,             0.00024307
                     76,                0.70348,                0.48714,                0.96964,                0.81192,                 0.7629,                0.82957,                0.70626,                 0.5946,                0.40662,                0.91814,             0.00023407,             0.00023407,             0.00023407
                     77,                0.70281,                0.48301,                0.96754,                0.77217,                0.80082,                0.83332,                0.71038,                0.59448,                0.40793,                0.91988,             0.00022507,             0.00022507,             0.00022507
                     78,                0.69835,                0.48137,                0.96788,                0.79401,                0.78323,                0.83496,                 0.7118,                0.59073,                0.40356,                0.91672,             0.00021607,             0.00021607,             0.00021607
                     79,                0.69639,                0.47982,                0.96608,                0.80883,                0.76499,                0.83164,                0.70848,                0.59038,                0.40265,                0.91388,             0.00020707,             0.00020707,             0.00020707
                     80,                0.69966,                0.48095,                0.96662,                0.80237,                0.77293,                0.82991,                0.70627,                0.59268,                0.40642,                 0.9171,             0.00019807,             0.00019807,             0.00019807
                     81,                0.69623,                0.47531,                0.96556,                0.82114,                0.76038,                0.83154,                0.70778,                0.58584,                0.40528,                0.91564,             0.00018907,             0.00018907,             0.00018907
                     82,                0.69485,                0.47669,                0.96461,                0.81152,                0.76216,                 0.8306,                0.70811,                0.58605,                0.40577,                0.91731,             0.00018007,             0.00018007,             0.00018007
                     83,                0.69558,                0.47262,                 0.9632,                0.78179,                0.79254,                 0.8315,                0.70824,                0.58766,                0.40325,                0.91663,             0.00017107,             0.00017107,             0.00017107
                     84,                0.69457,                0.47411,                0.96217,                0.80733,                0.75814,                0.82791,                0.70512,                0.58757,                 0.4038,                0.91599,             0.00016207,             0.00016207,             0.00016207
                     85,                0.69463,                0.47081,                0.96504,                 0.7941,                0.76829,                0.82878,                0.70514,                0.58724,                0.40512,                0.91538,             0.00015308,             0.00015308,             0.00015308
                     86,                0.69094,                0.46947,                0.96257,                0.79288,                0.76905,                0.82808,                0.70535,                0.58918,                0.40513,                0.91677,             0.00014408,             0.00014408,             0.00014408
                     87,                0.68803,                0.46687,                0.96279,                0.81946,                0.75005,                0.82866,                0.70584,                 0.5871,                0.40305,                0.91512,             0.00013508,             0.00013508,             0.00013508
                     88,                0.68699,                0.46496,                0.95951,                0.79362,                0.77475,                0.82967,                0.70677,                0.58654,                0.40184,                0.91467,             0.00012608,             0.00012608,             0.00012608
                     89,                0.68952,                0.46405,                0.96142,                0.80898,                0.76762,                0.83136,                0.70819,                0.58564,                 0.4018,                0.91302,             0.00011708,             0.00011708,             0.00011708
                     90,                 0.6389,                 0.4038,                 0.9314,                0.77474,                0.78927,                0.82716,                0.70301,                0.59462,                0.41078,                 0.9176,             0.00010808,             0.00010808,             0.00010808
                     91,                0.63236,                0.39079,                0.92646,                0.76749,                0.79082,                 0.8234,                0.70024,                0.59052,                 0.4098,                0.91583,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.62926,                0.38816,                0.92626,                0.79467,                0.77116,                0.82334,                0.70115,                0.58758,                0.40844,                0.91738,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.62686,                0.38263,                0.92707,                 0.7859,                0.77771,                0.82637,                0.70335,                0.58914,                0.40897,                0.91785,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.62736,                0.38163,                0.92477,                0.77598,                0.77858,                 0.8233,                0.70139,                0.58845,                0.40891,                0.91669,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.62394,                0.37886,                 0.9223,                0.80268,                0.76259,                 0.8232,                0.70179,                  0.588,                0.40897,                0.91587,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.62245,                0.37458,                0.92269,                0.79494,                0.76366,                0.82386,                0.70237,                 0.5881,                 0.4092,                0.91478,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.62215,                0.37504,                 0.9228,                0.79466,                0.77042,                0.82375,                0.70243,                0.58802,                0.41005,                0.91385,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.61985,                0.37294,                0.92312,                 0.7796,                0.78196,                0.82475,                0.70332,                0.58763,                 0.4098,                0.91527,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.62042,                0.37158,                0.91874,                0.79649,                0.76632,                0.82474,                0.70229,                0.58798,                0.40959,                0.91634,             2.7088e-05,             2.7088e-05,             2.7088e-05
